Unnamed: 0,ID_SUBEST,SUBTIPO,NOMBRE,PROPIEDAD,TENSION_KV,TIPO,F_OPERACIO,RCA,SIST_ELECT,ESTADO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
15,1857,100,S/E COLOSO,MINERA ESCONDIDA LTDA.,"220/13,8",DEDICADO,1989-06-01,S/I,SEN,OPERATIVA,350124.7262696,7371142.8800384,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.470758 -23.76385),-23.76385,-70.470758
16,1937,100,S/E SUR,CGE TRANSMISION S.A.,"110/13,8",ZONAL,2001-01-01,257/2000,SEN,OPERATIVA,355227.43451961,7376639.52168526,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.420158 -23.714685),-23.714685,-70.420158
17,1863,100,S/E EL COBRE (ENGIE),ENGIE ENERGIA CHILE S.A.,220/23,NACIONAL,2010-08-18,393/2008,SEN,OPERATIVA,460733.77795249,7406166.02994108,19 S,WGS84,2.0,21.0,2103.0,CEN,2014-12-04,2023-03-30,POINT (-69.38445 -23.454024),-23.454024,-69.38445
18,429,100,S/E MANSO DE VELASCO,CGE TRANSMISION S.A.,66/23/15,ZONAL,1988-01-01,S/I,SEN,OPERATIVA,734648.88912329,5849809.73247432,18 S,WGS84,8.0,83.0,8301.0,CEN,2014-12-04,2023-03-30,POINT (-72.346654 -37.468834),-37.468834,-72.346654
19,273,100,S/E CENTRAL CEMENTOS BIO BIO CENTRO,INACAL S.A.,"13,8/6,3",DEDICADO,,S/I,SEN,OPERATIVA,667819.99764941,5931971.98508783,18 S,WGS84,8.0,81.0,8110.0,CEN,2014-12-04,2023-03-30,POINT (-73.12027543099998 -36.74315944099993),-36.74315944099993,-73.12027543099998
20,266,100,S/E AGUAS NEGRAS,ENLASA GENERACION CHILE S.A.,66,DEDICADO,2018-12-01,S/I,SEN,OPERATIVA,304228.19924442,6139443.47935817,19 S,WGS84,7.0,73.0,7308.0,CEN,2014-12-04,2023-03-30,POINT (-71.141811 -34.868533),-34.868533,-71.141811
21,1840,100,S/E CENTRO,CGE TRANSMISION S.A.,"110/23/13,8",ZONAL,2001-01-01,129/2000,SEN,OPERATIVA,357836.99986401,7381336.00036664,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.39411475999998 -23.672508819999962),-23.67250881999996,-70.39411475999998
22,1971,100,TAP OFF NUEVA VICTORIA,SOCIEDAD QUIMICA Y MINERA DE CHILE S.A.,66/23,NACIONAL,2006-01-05,S/I,SEN,OPERATIVA,430128.51049443,7682849.65961723,19 S,WGS84,1.0,14.0,1401.0,CEN,2014-12-04,2023-03-30,POINT (-69.67208203899997 -20.953521845999944),-20.953521845999944,-69.67208203899997
23,1834,100,S/E COBOS,AES ANDES S.A.,550/345,NACIONAL,,S/I,SEN,OPERATIVA,899468.99825696,7257275.83206884,19 S,WGS84,,,,CEN,2014-12-04,2023-03-30,POINT (-65.05141266999993 -24.74719836999998),-24.74719836999998,-65.05141266999993
24,962,100,S/E FIBRANOVA,MASISA S.A.,"66/13,2",ZONAL,1997-01-01,S/I,SEN,OPERATIVA,731630.55348179,5897307.66276617,18 S,WGS84,8.0,83.0,8303.0,CEN,2014-12-04,2023-03-30,POINT (-72.395528 -37.041893),-37.041893,-72.395528
25,240,100,S/E NUEVA VENTANAS,EMPRESA ELECTRICA VENTANAS S.A.,220/18,DEDICADO,2009-01-01,S/I,SEN,OPERATIVA,267487.75914105,6373794.3934459,19 S,WGS84,5.0,51.0,5105.0,CEN,2014-12-04,2023-03-30,POINT (-71.481679 -32.749171),-32.749171,-71.481679
26,1809,100,S/E A,CODELCO CHILE - DIVISION CHUQUICAMATA,100,DEDICADO,1915-05-19,S/I,SEN,OPERATIVA,508430.16559488,7533279.51394136,19 S,WGS84,2.0,22.0,2201.0,CEN,2014-12-04,2023-03-30,POINT (-68.918152 -22.306187),-22.306187,-68.918152
27,216,100,S/E NUEVA ALDEA,CELULOSA ARAUCO Y CONSTITUCION S.A.,66/15,DEDICADO,2006-05-01,S/I,SEN,OPERATIVA,725415.64392766,5939726.1869928,18 S,WGS84,16.0,162.0,16206.0,CEN,2014-12-04,2023-03-30,POINT (-72.477935 -36.661391),-36.661391,-72.477935
28,1052,100,S/E TAP OFF LA LAJA,AES ANDES S.A.,110,DEDICADO,1925-01-01,S/I,SEN,OPERATIVA,368180.02171907,6283421.59616855,19 S,WGS84,13.0,132.0,13203.0,CEN,2014-12-04,2023-03-30,POINT (-70.42043203399999 -33.58077309799995),-33.58077309799995,-70.42043203399999
29,382,100,S/E CABILDO,CGE TRANSMISION S.A.,110/23,ZONAL,,S/I,SEN,OPERATIVA,304761.42338438,6409239.90578845,19 S,WGS84,5.0,54.0,5402.0,CEN,2014-12-04,2023-03-30,POINT (-71.076707 -32.436876),-32.436876,-71.076707
30,1783,100,S/E CONEJO,CONEJO SOLAR SPA,220/33,DEDICADO,2016-06-01,S/I,SEN,OPERATIVA,382590.26755776,7177828.11640267,19 S,WGS84,2.0,21.0,2104.0,CEN,2014-12-04,2023-03-30,POINT (-70.168351 -25.512122),-25.512122,-70.168351
31,653,100,S/E QUELENTARO,"CGE TRANSMISION S.A.

","220/110/13,2",ZONAL,2006-01-01,S/I,SEN,OPERATIVA,261226.36871049,6230356.18881333,19 S,WGS84,6.0,62.0,6203.0,CEN,2014-12-04,2023-03-30,POINT (-71.586482 -34.040312),-34.040312,-71.586482
32,2074,100,S/E CENTRAL LAS LAJAS,ALTO MAIPO SPA,110/15,DEDICADO,2022-03-26,S/I,SEN,OPERATIVA,380094.001491,6286249.98628142,19 S,WGS84,13.0,132.0,13203.0,CEN,2014-12-04,2023-03-30,POINT (-70.29170240399998 -33.55667562499997),-33.55667562499997,-70.29170240399998
33,1630,100,S/E CERRO NEGRO,COMPANIA MINERA CERRO NEGRO S.A.,44/12,DEDICADO,1940-01-01,S/I,SEN,OPERATIVA,323467.38992842,6393237.07749948,19 S,WGS84,5.0,54.0,5402.0,CEN,2014-12-04,2023-03-30,POINT (-70.880836 -32.584284),-32.584284,-70.880836
34,1765,100,S/E COPAYAPU,CGE TRANSMISION S.A.,110,ZONAL,2015-01-01,S/I,SEN,OPERATIVA,363531.58483496,6959179.86481006,19 S,WGS84,3.0,31.0,3101.0,CEN,2014-12-04,2023-03-30,POINT (-70.381367 -27.484147),-27.484147,-70.381367
35,575,100,S/E ITAHUE,TRANSELEC S.A.,"154/66/13,8",NACIONAL,1955-01-01,S/I,SEN,OPERATIVA,284330.00033218,6108946.99968088,19 S,WGS84,7.0,73.0,7304.0,CEN,2014-12-04,2023-03-30,POINT (-71.36725313999995 -35.13927032999993),-35.13927032999993,-71.36725313999995
36,2163,100,S/E CENTRAL LOS MOLLES,ENEL GENERACION CHILE S.A.,"66/13,8",ZONAL,,S/I,SEN,OPERATIVA,348081.01192615,6597690.43629613,19 S,WGS84,4.0,43.0,4303.0,CEN,2014-12-04,2023-03-30,POINT (-70.58701902599995 -30.744023134999964),-30.744023134999964,-70.58701902599995
37,1927,100,S/E SE021-A,SOCIEDAD QUIMICA Y MINERA DE CHILE S.A.,"66/4,16",DEDICADO,2007-03-01,S/I,SEN,OPERATIVA,432815.43858522,7542909.63465112,19 S,WGS84,2.0,23.0,2302.0,CEN,2014-12-04,2023-03-30,POINT (-69.65187218999995 -22.217900809999946),-22.217900809999943,-69.65187218999995
38,1709,100,S/E PICHIRRAHUE,TRANSRUCATAYO S.A.,220/110,S/I,2012-07-03,461/2011,SEN,OPERATIVA,662151.9999963,5506966.00008453,18 S,WGS84,10.0,103.0,10301.0,CEN,2014-12-04,2023-03-30,POINT (-73.08433750999995 -40.572214309999936),-40.572214309999936,-73.08433750999995
39,2141,100,S/E AGUAS CLARAS,INNOVACION ENERGIA S.A.,"14,4",DEDICADO,2020-02-13,S/I,SEN,OPERATIVA,304237.68288737,6139442.17435229,19 S,WGS84,7.0,73.0,7308.0,CEN,2014-12-04,2023-03-30,POINT (-71.14170761499997 -34.86854658699997),-34.86854658699997,-71.14170761499997
40,374,100,S/E FATIMA,CGE TRANSMISION S.A.,66/15,ZONAL,1989-01-01,S/I,SEN,OPERATIVA,337543.53947195,6257673.7482652,19 S,WGS84,13.0,134.0,13404.0,CEN,2014-12-04,2023-03-30,POINT (-70.755149 -33.808665),-33.808665,-70.755149
41,708,100,S/E OCHAGAVIA,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110/12,ZONAL,1974-01-01,S/I,SEN,OPERATIVA,345054.43087978,6294335.54096277,19 S,WGS84,13.0,131.0,13121.0,CEN,2014-12-04,2023-03-30,POINT (-70.667647 -33.479265),-33.479265,-70.667647
42,870,100,S/E MANTO VERDE,MANTOVERDE S.A.,"110/13,8",DEDICADO,1995-09-01,S/I,SEN,OPERATIVA,367916.10024654,7061605.44485592,19 S,WGS84,3.0,32.0,3201.0,CEN,2014-12-04,2023-03-30,POINT (-70.326094 -26.560075),-26.560075,-70.326094
43,1815,100,S/E ANDES SOLAR,AES ANDES S.A.,23,ZONAL,2016-05-28,S/I,SEN,OPERATIVA,542256.40472769,7344257.87786292,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-68.584505 -24.013126),-24.013126,-68.584505
44,2304,102,CENTRAL ALTO BAGUALES,EDELAYSEN,23,NO APLICA,2001-01-01,S/I,EDELAYSEN,OPERATIVA,726103.796749,4954534.26374258,18 S,WGS84,11.0,111.0,11101.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-72.10458300099998 -45.52602100099995),-45.52602100099995,-72.10458300099998
45,2246,100,S/E SECCIONADORA EL ROSAL,ENEL GENERACION CHILE S.A.,220,NACIONAL,2021-03-16,98/2019,SEN,OPERATIVA,735157.45415222,5874183.27835239,18 S,WGS84,8.0,83.0,8301.0,CEN,2014-12-04,2023-03-30,POINT (-72.348646 -37.249241),-37.249241,-72.348646
46,223,100,S/E COLBUN,ALFA TRANSMISORA DE ENERGIA S.A.,"220/66/13,8",NACIONAL,1997-01-01,S/I,SEN,OPERATIVA,284870.18844216,6048282.41091428,19 S,WGS84,7.0,74.0,7402.0,CEN,2014-12-04,2023-03-30,POINT (-71.377335 -35.685919),-35.685919,-71.377335
47,639,100,S/E LA ESPERANZA,CGE TRANSMISION S.A.,"13,2",ZONAL,2010-06-01,S/I,SEN,OPERATIVA,264518.93628358,6198275.36990356,19 S,WGS84,6.0,62.0,6204.0,CEN,2014-12-04,2023-03-30,POINT (-71.559568 -34.330094),-34.330094,-71.559568
48,1880,100,S/E HAMBURGO,MINERA ESCONDIDA LTDA.,"69/4,16",DEDICADO,1995-01-01,S/I,SEN,OPERATIVA,492498.98030508,7312683.97005066,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-69.07392 -24.29885),-24.29885,-69.07392
49,1775,100,S/E CENTRAL PARQUE EOLICO LOS BUENOS AIRES,ENEL GREEN POWER CHILE S.A.,66/33,ZONAL,2015-01-01,S/I,SEN,OPERATIVA,719768.15461564,5841090.03325087,18 S,WGS84,8.0,83.0,8301.0,CEN,2014-12-04,2023-03-30,POINT (-72.512165 -37.551014),-37.551014,-72.512165
50,290,100,S/E CENTRAL PEUCHEN,DUQUECO SPA,220/23,DEDICADO,2000-02-10,S/I,SEN,OPERATIVA,270637.48836645,5841978.75624002,19 S,WGS84,8.0,83.0,8311.0,CEN,2014-12-04,2023-03-30,POINT (-71.596068 -37.540674),-37.540674,-71.596068
51,803,100,S/E TUNEL EL MELON,CHILQUINTA TRANSMISION S.A.,12,ZONAL,1993-01-01,S/I,SEN,OPERATIVA,290759.18300056,6387540.60670538,19 S,WGS84,5.0,55.0,5506.0,CEN,2014-12-04,2023-03-30,POINT (-71.230383 -32.629935),-32.629935,-71.230383
52,796,100,S/E RIECILLOS,CHILQUINTA TRANSMISION S.A.,44/12,ZONAL,1993-01-01,S/I,SEN,OPERATIVA,373426.77847936,6356271.44284995,19 S,WGS84,5.0,53.0,5301.0,CEN,2014-12-04,2023-03-30,POINT (-70.35374 -32.924488),-32.924488,-70.35374
53,2304,100,S/E MESAMAVIDA,ENERGIA EOLICA MESAMAVIDA SPA,33,ZONAL,2022-07-29,S/I,SEN,OPERATIVA,724547.94648357,5847667.47247694,18 S,WGS84,8.0,83.0,8301.0,CEN,2014-12-04,2023-03-30,POINT (-72.46011446199998 -37.49063366199994),-37.49063366199994,-72.46011446199998
54,940,100,S/E RENAICO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,,S/I,SEN,OPERATIVA,713397.48824147,5827443.97853524,18 S,WGS84,9.0,92.0,9209.0,CEN,2014-12-04,2023-03-30,POINT (-72.580242 -37.6754),-37.6754,-72.580242
55,423,100,S/E LO MIRANDA,CGE TRANSMISION S.A.,66/15,ZONAL,1984-01-01,S/I,SEN,OPERATIVA,325892.12766271,6213224.38919187,19 S,WGS84,6.0,61.0,6105.0,CEN,2014-12-04,2023-03-30,POINT (-70.889829 -34.207477),-34.207477,-70.889829
56,948,100,S/E FUNDICION PAIPOTE,"EMPRESA NACIONAL DE MINERIA, FUNDICION HERNAN VIDELA LIRA",110/6,DEDICADO,1997-01-01,S/I,SEN,OPERATIVA,375643.7537954,6966791.31211517,19 S,WGS84,3.0,31.0,3101.0,CEN,2014-12-04,2023-03-30,POINT (-70.25801 -27.41661),-27.41661,-70.25801
57,2318,100,S/E PAMPA TIGRE,AR PAMPA SPA,33,DEDICADO,2022-09-01,S/I,SEN,OPERATIVA,417151.0008133,7361528.98867883,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-69.81362819999998 -23.85554124199996),-23.85554124199996,-69.81362819999998
58,1826,100,S/E CENTRAL CHAPIQUINA,ENGIE ENERGIA CHILE S.A.,69/66/23,DEDICADO,1967-06-01,S/I,SEN,OPERATIVA,442026.62826615,7968492.17860794,19 S,WGS84,15.0,152.0,15201.0,CEN,2014-12-04,2023-03-30,POINT (-69.548786 -18.372699),-18.372699,-69.548786
59,2150,100,S/E LOS TILOS BULNES,COOPERATIVA DE CONSUMO DE ENERGIA ELECTRICA CHILLAN LTDA.,"66/13,8",ZONAL,2020-08-14,S/I,SEN,OPERATIVA,748054.4758827,5915037.48061032,18 S,WGS84,16.0,161.0,16102.0,CEN,2014-12-04,2023-03-30,POINT (-72.21686876499996 -36.87806116499996),-36.87806116499996,-72.21686876499996
60,702,100,S/E LOS ALMENDROS,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220/110,ZONAL,2003-01-01,S/I,SEN,OPERATIVA,359764.50431343,6300276.15251213,19 S,WGS84,13.0,131.0,13114.0,CEN,2014-12-04,2023-03-30,POINT (-70.508448 -33.42773),-33.42773,-70.508448
61,2002,100,S/E DONA CARMEN,ENERGIA CERRO EL MORADO S.A.,220/23,NACIONAL,2017-04-29,S/I,SEN,OPERATIVA,288145.29973304,6404264.81823706,19 S,WGS84,5.0,54.0,5401.0,CEN,2014-12-04,2023-03-30,POINT (-71.254453 -32.478685),-32.478685,-71.254453
62,368,100,S/E INCAHUASI,CGE TRANSMISION S.A.,110/23,ZONAL,,S/I,SEN,OPERATIVA,303083.86456434,6761765.29498272,19 S,WGS84,3.0,33.0,3301.0,CEN,2014-12-04,2023-03-30,POINT (-71.026552 -29.257656),-29.257656,-71.026552
63,1699,100,S/E PLANTA DESALADORA Y BOMBEO N°1,MANTOVERDE S.A.,"110/4,16",DEDICADO,2014-02-01,S/I,SEN,OPERATIVA,331115.76582406,7063336.06086054,19 S,WGS84,3.0,32.0,3201.0,CEN,2014-12-04,2023-03-30,POINT (-70.695216 -26.540539),-26.540539,-70.695216
64,879,100,S/E CEMENTOS BIO BIO,CEMENTOS BIO BIO DEL SUR S.A.,66,DEDICADO,1961-01-01,S/I,SEN,OPERATIVA,667819.99980981,5931971.99958488,18 S,WGS84,8.0,81.0,8110.0,CEN,2014-12-04,2023-03-30,POINT (-73.12027540999998 -36.74315930999995),-36.74315930999995,-73.12027540999998
65,494,100,S/E NEWEN,CGE TRANSMISION S.A.,66,DEDICADO,2009-01-01,S/I,SEN,OPERATIVA,667924.22521903,5928071.72861887,18 S,WGS84,8.0,81.0,8112.0,CEN,2014-12-04,2023-03-30,POINT (-73.11825 -36.778282),-36.778282,-73.11825
66,2228,100,S/E CABO LEONES II,IBEREOLICA CABO LEONES II S.A.,220/33,DEDICADO,2021-02-23,S/I,SEN,OPERATIVA,261688.2411615,6792309.37596962,19 S,WGS84,3.0,33.0,3303.0,CEN,2014-12-04,2023-03-30,POINT (-71.445751 -28.975089),-28.975089,-71.445751
67,1874,100,S/E ESTACION DE BOMBEO SIERRA GORDA N°2,TRANSMISORA BAQUEDANO S.A.,"6,9",DEDICADO,2014-08-01,S/I,SEN,OPERATIVA,356621.00136144,7444302.98854509,19 S,WGS84,2.0,21.0,2102.0,CEN,2014-12-04,2023-03-30,POINT (-70.40004735199994 -23.103791512999976),-23.103791512999976,-70.40004735199994
68,415,100,S/E TRES PINOS,CGE TRANSMISION S.A.,"66/23/13,2",ZONAL,1969-01-01,S/I,SEN,OPERATIVA,639714.60577073,5834621.14272252,18 S,WGS84,8.0,82.0,8206.0,CEN,2014-12-04,2023-03-30,POINT (-73.416751 -37.624918),-37.624918,-73.416751
69,659,100,S/E SAN CLEMENTE,CGE TRANSMISION S.A.,"66/13,2",DEDICADO,,S/I,SEN,OPERATIVA,266937.05885106,6064457.95507458,19 S,WGS84,7.0,71.0,7109.0,CEN,2014-12-04,2023-03-30,POINT (-71.570668 -35.536144),-35.536144,-71.570668
70,787,100,S/E LOS PLACERES,CHILQUINTA TRANSMISION S.A.,12,ZONAL,1966-01-01,S/I,SEN,OPERATIVA,259214.30869639,6340314.52764127,19 S,WGS84,5.0,51.0,5101.0,CEN,2014-12-04,2023-03-30,POINT (-71.578642 -33.049092),-33.049092,-71.578642
71,1946,100,TAP OFF BARRILES,GRACE S.A.,"220/13,2",DEDICADO,2006-01-01,S/I,SEN,OPERATIVA,389935.06097244,7548574.88915592,19 S,WGS84,2.0,23.0,2301.0,CEN,2014-12-04,2023-03-30,POINT (-70.06749667399998 -22.16452956699993),-22.16452956699993,-70.06749667399998
72,890,100,S/E PAPELERA INFORSA,PAPELES RIO VERGARA S.A.,"220/13,2",DEDICADO,1986-01-01,S/I,SEN,OPERATIVA,707105.43571941,5845422.53705088,18 S,WGS84,8.0,83.0,8306.0,CEN,2014-12-04,2023-03-30,POINT (-72.656619 -37.514928),-37.514928,-72.656619
73,636,100,S/E EL PEUMO,CGE TRANSMISION S.A.,66/23,ZONAL,2003-01-01,S/I,SEN,OPERATIVA,277773.47256221,6240170.10243497,19 S,WGS84,13.0,135.0,13505.0,CEN,2014-12-04,2023-03-30,POINT (-71.404887 -33.955519),-33.955519,-71.404887
74,832,100,S/E COSTANERA,TRANSMISORA ELECTRICA CORDILLERA SPA,"110/12,5/12",ZONAL,2001-01-01,S/I,SEN,OPERATIVA,354659.29433733,6278921.80357447,19 S,WGS84,13.0,132.0,13201.0,CEN,2014-12-04,2023-03-30,POINT (-70.56681361999995 -33.61958606999997),-33.61958606999997,-70.56681361999995
75,2096,100,S/E SARCO,AELA EOLICA SARCO SPA,220/170,NACIONAL,2020-07-15,S/I,SEN,OPERATIVA,263709.01315883,6805412.36855666,19 S,WGS84,3.0,33.0,3303.0,CEN,2014-12-04,2023-03-30,POINT (-71.422279 -28.857302),-28.857302,-71.422279
76,569,100,S/E DIEGO DE ALMAGRO,TRANSELEC S.A.,"220/110/13,8/13,2",NACIONAL,1980-12-31,S/I,SEN,OPERATIVA,396404.25016039,7079770.05999503,19 S,WGS84,3.0,32.0,3202.0,CEN,2014-12-04,2023-03-30,POINT (-70.038648 -26.398464),-26.398464,-70.038648
77,1921,100,S/E PUNTA NEGRA,MINERA ESCONDIDA LTDA.,"69/34,5/4,16",DEDICADO,1995-01-01,S/I,SEN,OPERATIVA,508239.9995111,7303577.9999976,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-68.91874515999996 -24.381090279999967),-24.381090279999967,-68.91874515999996
78,1871,100,S/E ESMERALDA,EMPRESA DE TRANSMISION ELECTRICA TRANSEMEL S.A.,"220/110/13,8",ZONAL,2001-12-01,S/I,SEN,OPERATIVA,358383.3145882,7381247.73153372,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.388767 -23.673354),-23.673354,-70.388767
79,2178,100,S/E DESALINIZADORA Y BOMBEO 1 (SGO),CAITAN SPA,66,S/I,,S/I,SEN,OPERATIVA,362571.58332708,7451576.05703824,19 S,WGS84,2.0,21.0,2102.0,CEN,2014-12-04,2023-03-30,POINT (-70.341303 -23.038614),-23.038614,-70.341303
80,2133,100,S/E MOCHO,CUMBRES SPA,110/23,DEDICADO,2018-09-10,S/I,SEN,OPERATIVA,732422.82867212,5497402.57625068,18 S,WGS84,14.0,142.0,14204.0,CEN,2014-12-04,2023-03-30,POINT (-72.251402 -40.641531),-40.641531,-72.251402
81,365,100,S/E HORCONES,CGE TRANSMISION S.A.,"66/13,8",ZONAL,2001-01-01,S/I,SEN,OPERATIVA,658314.54473484,5880119.58978381,18 S,WGS84,8.0,82.0,8202.0,CEN,2014-12-04,2023-03-30,POINT (-73.215819 -37.211989),-37.211989,-73.215819
82,1706,100,S/E CEMENTOS BIO BIO CENTRO,CEMENTOS BIO BIO CENTRO S.A.,"6,3",S/I,2010-01-01,S/I,SEN,OPERATIVA,304103.29270393,6139617.36376207,19 S,WGS84,7.0,73.0,7308.0,CEN,2014-12-04,2023-03-30,POINT (-71.143136 -34.866942),-34.866942,-71.143136
83,1895,100,S/E LLAMARA,MINERA ESCONDIDA LTDA.,"69/13,8/",DEDICADO,2005-01-01,S/I,SEN,OPERATIVA,439675.76372797,7663273.08835485,19 S,WGS84,1.0,14.0,1401.0,CEN,2014-12-04,2023-03-30,POINT (-69.580938 -21.130736),-21.130736,-69.580938
84,1664,100,S/E RAHUE,TRANSELEC S.A.,220,NACIONAL,2013-01-01,S/I,SEN,OPERATIVA,662064.06382828,5506787.46896907,18 S,WGS84,10.0,103.0,10301.0,CEN,2014-12-04,2023-03-30,POINT (-73.08533 -40.573839),-40.573839,-73.08533
85,438,100,S/E PENCO,CGE TRANSMISION S.A.,66/15,ZONAL,1974-01-01,S/I,SEN,OPERATIVA,679401.55179387,5931671.54531473,18 S,WGS84,8.0,81.0,8107.0,CEN,2014-12-04,2023-03-30,POINT (-72.99055175999996 -36.74374686999994),-36.74374686999994,-72.99055175999996
